Pipeline_index,Combination,Perplexity,Early_exaggeration,Initial_momentum,Final_momentum,Theta,tSNE_runtime_min,Affinity_runtime_min,KL_divergence
pipeline_412,"(45, 11, 0.3, 0.9, 1.0)",45,11,0.3,0.9,0.9,7.895017449061076,10.829813655217489,3.1018637270722387
pipeline_413,"(45, 11, 0.3, 1.0, 0.25)",45,11,0.3,1.0,1.0,58.35376415252686,10.437137993176778,3.0800330544249093
pipeline_414,"(45, 11, 0.3, 1.0, 0.5)",45,11,0.3,1.0,1.0,20.41356101433436,10.437137993176778,3.0799464146888127
pipeline_415,"(45, 11, 0.3, 1.0, 0.75)",45,11,0.3,1.0,1.0,11.580431918303171,10.437137993176778,3.0809580363637625
pipeline_416,"(45, 11, 0.3, 1.0, 1.0)",45,11,0.3,1.0,1.0,7.9122815807660425,10.829813655217489,3.1018637270722387
pipeline_417,"(45, 11, 0.5, 0.8, 0.25)",45,11,0.5,0.8,0.8,58.555118815104166,10.437137993176778,3.0800330544249093
pipeline_418,"(45, 11, 0.5, 0.8, 0.5)",45,11,0.5,0.8,0.8,20.28537089427312,10.437137993176778,3.0799464146888127
pipeline_419,"(45, 11, 0.5, 0.8, 0.75)",45,11,0.5,0.8,0.8,11.936184589068095,10.829813655217489,3.0791420742214743
pipeline_420,"(45, 11, 0.5, 0.8, 1.0)",45,11,0.5,0.8,0.8,7.9052394986152645,10.829813655217489,3.1018637270722387
pipeline_421,"(45, 11, 0.5, 0.9, 0.25)",45,11,0.5,0.9,0.9,58.68727044264475,10.437137993176778,3.0800330544249093
pipeline_422,"(45, 11, 0.5, 0.9, 0.5)",45,11,0.5,0.9,0.9,20.45678453842799,10.437137993176778,3.0799464146888127
pipeline_423,"(45, 11, 0.5, 0.9, 0.75)",45,11,0.5,0.9,0.9,11.24125879208247,10.829813655217489,3.0809580363637625
pipeline_424,"(45, 11, 0.5, 0.9, 1.0)",45,11,0.5,0.9,0.9,7.896366842587789,10.829813655217489,3.1018637270722387
pipeline_425,"(45, 11, 0.5, 1.0, 0.25)",45,11,0.5,1.0,1.0,58.49286995728811,10.437137993176778,3.0800330544249093
pipeline_426,"(45, 11, 0.5, 1.0, 0.5)",45,11,0.5,1.0,1.0,20.341503032048543,10.437137993176778,3.0799464146888127
pipeline_427,"(45, 11, 0.5, 1.0, 0.75)",45,11,0.5,1.0,1.0,11.270943037668864,10.829813655217489,3.0809580363637625
pipeline_428,"(45, 11, 0.5, 1.0, 1.0)",45,11,0.5,1.0,1.0,7.950263766447703,10.829813655217489,3.1018637270722387
pipeline_429,"(45, 18, 0.1, 0.8, 0.25)",45,18,0.1,0.8,0.8,60.32065371274948,10.829813655217489,3.0752854368733207
